Id,Dataset Name,Agency,Instrument,Physical variable,var,Units,Grid Dimension,Variable Name in Web Interface,model,Dataset Start Time,Dataset End Time
72,E2-R Vertical Wind Velocity,GISS,E2-R,Vertical Wind Velocity,wap,m s-1,3D,Vertical Wind Velocity,GISS_E2-R,195112,200511
73,E2-R Relative Humidity,GISS,E2-R,Relative Humidity,hur,%,3D,Relative Humidity,GISS_E2-R,195112,200511
74,CAM5 Precipitation Flux,NCAR,CAM5,Precipitation Flux,pr,kg m-2 s-1,2D,Precipitation Flux,NCAR_CAM5,199412,200511
75,CAM5 Total Cloud Fraction,NCAR,CAM5,Total Cloud Fraction,clt,%,2D,Total Cloud Fraction,NCAR_CAM5,199412,200511
76,CAM5 Surface Temperature,NCAR,CAM5,Surface Temperature,ts,K,2D,Surface Temperature,NCAR_CAM5,199412,200511
77,CAM5 Sea Surface Temperature,NCAR,CAM5,Sea Surface Temperature,tos,K,2D,Sea Surface Temperature,NCAR_CAM5,199412,200511
78,CAM5 Near-Surface Wind Speed,NCAR,CAM5,Near-Surface Wind Speed,sfcWind,m s-1,2D,Near-Surface Wind Speed,NCAR_CAM5,199412,200511
79,CAM5 Sea Surface Height,NCAR,CAM5,Sea Surface Height,zos,m,2D,Sea Surface Height,NCAR_CAM5,199412,200511
80,CAM5 Leaf Area Index,NCAR,CAM5,Leaf Area Index,lai,1,2D,Leaf Area Index,NCAR_CAM5,199412,200511
81,CAM5 Surface Downwelling Longwave Radiation,NCAR,CAM5,Surface Downwelling Longwave Radiation,rlds,W m-2,2D,Surface Downwelling Longwave Radiation,NCAR_CAM5,199412,200511
82,CAM5 Surface Downwelling Shortwave Radiation,NCAR,CAM5,Surface Downwelling Shortwave Radiation,rsds,W m-2,2D,Surface Downwelling Shortwave Radiation,NCAR_CAM5,199412,200511
83,CAM5 Surface Upwelling Longwave Radiation,NCAR,CAM5,Surface Upwelling Longwave Radiation,rlus,W m-2,2D,Surface Upwelling Longwave Radiation,NCAR_CAM5,199412,200511
84,CAM5 Surface Upwelling Shortwave Radiation,NCAR,CAM5,Surface Upwelling Shortwave Radiation,rsus,W m-2,2D,Surface Upwelling Shortwave Radiation,NCAR_CAM5,199412,200511
85,CAM5 Surface Downwelling Clear-Sky Shortwave Radiation,NCAR,CAM5,Surface Downwelling Clear-Sky Shortwave Radiation,rsdscs,W m-2,2D,Surface Downwelling Clear-Sky Shortwave Radiation,NCAR_CAM5,199412,200511
86,CAM5 Surface Upwelling Clear-Sky Shortwave Radiation,NCAR,CAM5,Surface Upwelling Clear-Sky Shortwave Radiation,rsuscs,W m-2,2D,Surface Upwelling Clear-Sky Shortwave Radiation,NCAR_CAM5,199412,200511
87,CAM5 TOA Incident Shortwave Radiation,NCAR,CAM5,TOA Incident Shortwave Radiation,rsdt,W m-2,2D,TOA Incident Shortwave Radiation,NCAR_CAM5,199412,200511
88,CAM5 TOA Outgoing Longwave Radiation,NCAR,CAM5,TOA Outgoing Longwave Radiation,rlut,W m-2,2D,TOA Outgoing Longwave Radiation,NCAR_CAM5,199412,200511
89,CAM5 TOA Outgoing Shortwave Radiation,NCAR,CAM5,TOA Outgoing Shortwave Radiation,rsut,W m-2,2D,TOA Outgoing Shortwave Radiation,NCAR_CAM5,199412,200511
90,CAM5 TOA Outgoing Clear-Sky Longwave Radiation,NCAR,CAM5,TOA Outgoing Clear-Sky Longwave Radiation,rlutcs,W m-2,2D,TOA Outgoing Clear-Sky Longwave Radiation,NCAR_CAM5,199412,200511
91,CAM5 TOA Outgoing Clear-Sky Shortwave Radiation,NCAR,CAM5,TOA Outgoing Clear-Sky Shortwave Radiation,rsutcs,W m-2,2D,TOA Outgoing Clear-Sky Shortwave Radiation,NCAR_CAM5,199412,200511
92,CAM5 Air Temperature,NCAR,CAM5,Air Temperature,ta,K,3D,Air Temperature,NCAR_CAM5,199412,200511
93,CAM5 Specific Humidity,NCAR,CAM5,Specific Humidity,hus,1,3D,Specific Humidity,NCAR_CAM5,199412,200511
94,CAM5 Cloud Ice Water Content,NCAR,CAM5,Cloud Ice Water Content,cli,1,3D,Cloud Ice Water Content,NCAR_CAM5,197512,200511
95,CAM5 Cloud Liquid Water Content,NCAR,CAM5,Cloud Liquid Water Content,clw,1,3D,Cloud Liquid Water Content,NCAR_CAM5,197512,200511
96,CAM5 Vertical Wind Velocity,NCAR,CAM5,Vertical Wind Velocity,wap,m s-1,3D,Vertical Wind Velocity,NCAR_CAM5,194912,200511
97,CAM5 Relative Humidity,NCAR,CAM5,Relative Humidity,hur,%,3D,Relative Humidity,NCAR_CAM5,194912,200511
98,NORESM Precipitation Flux,NCC,NORESM,Precipitation Flux,pr,kg m-2 s-1,2D,Precipitation Flux,NCC_NORESM,199412,200511
99,NORESM Total Cloud Fraction,NCC,NORESM,Total Cloud Fraction,clt,%,2D,Total Cloud Fraction,NCC_NORESM,199412,200511
100,NORESM Surface Temperature,NCC,NORESM,Surface Temperature,ts,K,2D,Surface Temperature,NCC_NORESM,199412,200511
101,NORESM Sea Surface Temperature,NCC,NORESM,Sea Surface Temperature,tos,K,2D,Sea Surface Temperature,NCC_NORESM,199412,200511
102,NORESM Eastward Near-Surface Wind,NCC,NORESM,Eastward Near-Surface Wind,uas,m s-1,2D,Eastward Near-Surface Wind,NCC_NORESM,199412,200511
103,NORESM Northward Near-Surface Wind,NCC,NORESM,Northward Near-Surface Wind,vas,m s-1,2D,Northward Near-Surface Wind,NCC_NORESM,199412,200511
104,NORESM Sea Surface Height,NCC,NORESM,Sea Surface Height,zos,m,2D,Sea Surface Height,NCC_NORESM,199412,200511
